,0
418,puszka(yerbera) metalowa amanda z dozownikiem
419,rei verde export
420,rei verde funcho camomile e cidreira
421,rei verde uruguay
422,rio negro
423,roapipo organica
424,roapipo organica fuerte
425,rojo seleccion especial
426,rojo tradicional
427,rosamonte
428,rosamonte con palo
429,rosamonte con palo lniany worek
430,rosamonte despalada
431,rosamonte elaborada
432,rosamonte elaborada con palo doypack
433,rosamonte elaborada con palo tradicional
434,rosamonte especial
435,rosamonte premium
436,rosamonte seleccion especial
437,rosamonte suave
438,rosamonte suave 
439,rosamonte suave doypack
440,rosamonte suave sabor
441,rosamonte suave selección especial
442,rosamonte super especial - słoik -
443,rosamonte terere
444,ruvicha chia
445,ruvicha chia compuesta
446,ruvicha familia
447,ruvicha nativa
448,ruvicha nativa elaborada
449,ruvicha pantanal
450,ruvicha pantanal compuesta
451,ruvicha rustica
452,ruvicha rustica elaborada
453,ruvicha silvestre
454,ruvicha silvestre elaborada
455,sara compuesta
456,sara extra suave
457,sara extra suave azul
458,sara roja despalada
459,sara tradicional
460,selecta
461,selecta doble sabor
462,selecta elaborada
463,selecta elaborada con palo premium
464,selecta elaborada con palo tradicional
465,selecta energy
466,selecta energy con guarana
467,selecta energy guarana
468,selecta energy z guarana
469,selecta limon cedron
470,selecta limon y cedron (cytryna i cedron)
471,selecta menta
472,selecta menta boldo
473,selecta menta peperina poleo
474,selecta molienda gruesa
475,selecta moringa
476,selecta moringa burrito
477,selecta premium
478,selecta refresca el doble
479,selecta siempre mate
480,selecta silueta
481,selecta tradicional
482,sinceridad limon
483,sinceridad naranja
484,skórzane porongo pipore
485,soul mate
486,soul mate organica teabags – yerba w torebkach –
487,soul mate orgánica anís
488,soul mate orgánica guayusa
489,soul mate orgánica siempre
490,soul mate sin humo despalada
491,soul mate sin humo organica
492,szczoteczka do bombilli metalowa
493,taragui
494,taragui citricos del litoral
495,taragui citricos del litoral (cytrusowa)
496,taragui citricos del litoral(cytrusowa)
497,taragui con palo
498,taragui elaborada con palo tradicional
499,taragui elaborada tradicional
500,taragui energia
501,taragui liviana
502,taragui maracuya tropical
503,taragui maracuya tropical (marakuja)
504,taragui naranja de oriente
505,taragui naranja de oriente (pomarańczowa)
506,taragui oriental naranja
507,taragui sin palo
508,taragui tropical maracuya
509,taragui vitality
510,terere argentina
511,terere laranjeiras
512,termometr analogowy czerwony
513,tucangua
514,union
515,union hierbas del litoral
516,union hierbas serranas
517,union low dust
518,union relax
519,union suave
520,union suave bcp
521,valerio terere fresh natural
522,verde mate
523,verde mate despalada
524,verde mate detox
525,verde mate energia guarana
526,verde mate frutos del bosque
527,verde mate green cactus (kaktusowa)
528,verde mate green cactus de juarez
529,verde mate green cannabis absinth
530,verde mate green chimarrao
531,verde mate green despalada
532,verde mate green detox
533,verde mate green energia guarana
534,verde mate green fresa
535,verde mate green frutos del bosque
536,verde mate green frutos tropicales
537,verde mate green guayusa jazmín
538,verde mate green katuava
539,verde mate green la potente
540,verde mate green limon
541,verde mate green limon (cytrynowa)
542,verde mate green mas iq
543,verde mate green melón de agua
544,verde mate green menta limon
545,verde mate green naranja tropico
546,verde mate green organica
547,verde mate green pomelo de oriente
548,verde mate green regulase
549,verde mate green rosa
550,verde mate green sarsaparilla
551,verde mate green silueta
552,verde mate green terere
553,verde mate green toasted - tostada -
554,verde mate limon
555,verde mate mas iq
556,verde mate regulase
557,verde mate rosa
558,verde mate silueta
559,w tydzień rafał przybylok
560,yacuy cha mate tostado(prażona)
561,yacuy chimarrao tradicional vacuum nativa
562,yacuy colonial moida grossa
563,yacuy composto
564,yacuy frutas vermelhas
565,yacuy guarana cha verde
566,yacuy nativa
567,yacuy nativa colonial chimarrao
568,yacuy organica
569,yacuy organica chimarrao
570,yacuy organica vacuum
571,yacuy pura folha premium
572,yacuy terere abacaxi menta
573,yacuy terere ananas mięta
574,yacuy terere boldo menta
575,yacuy terere cereja cherry
576,yacuy terere clasico
577,yacuy terere czerwone owoce
578,yacuy terere energy guarana
579,yacuy terere menta & boldo
580,yacuy terere menta boldo
581,yacuy terere menta ice
582,yacuy terere natural
583,yacuy terere organic
584,yacuy terere wiśnia
585,yacuy tipo p
586,yacuy tipo pu
587,yaguar
588,yaguar barbacua
589,yaguar boldo menta
590,yaguar elaborada con palo
591,yaguar energia guarana
592,yaguar frutas bayas
593,yaguar frutas del huerto
594,yaguar frutas dulces
595,yaguar hierbas pampeanas
596,yaguar limon
597,yaguar maracuya
598,yaguar menta limon
599,yaguar naranja
600,yaguar naranja earl grey
601,yaguar papaya
602,yaguar pera
603,yaguar pomelo
604,yaguar silueta
605,yaguar wild energy
606,yerba verde mate green cactus
607,yerba verde mate green cannabis absinth 
608,yerba verde mate green chimarrao
609,yerba verde mate green despalada organica
610,yerba verde mate green frutos del bosque
611,yerba verde mate green frutos tropicales
612,yerba verde mate green frutos tropicales 
613,yerba verde mate green guayusa jazmín
614,yerba verde mate green katuava
615,yerba verde mate green la potente
616,yerba verde mate green melón de agua
617,yerba verde mate green menta limon
618,yerba verde mate green organica organiczna
619,yerba verde mate green pomelo de oriente
620,yerba verde mate green regulase
621,yerba verde mate green silueta
622,yerba verde mate green toasted
623,yerba verde mate green toasted prażona
